編號	問題狀態	測試日期	模組	測試人員	問題敘述	圖檔連結	當前問題流向	負責人	修正版號	問題解答 by 開發人員/PM
Q2	嚴重	3/20	Presenter	Ian	"畫質設定問題 — 需修復項目

final_preview_tasks.py 和 final_export_tasks.py 合併場景時，沒有讀取 project.quality 做輸出解析度 scale，導致選 720p 仍可能輸出 1080p（或反過來）
用戶在編輯器中切換畫質後，已生成的場景影片不會重新生成，新的畫質只對「之後生成的場景」生效
建議修法（供 RD 參考）：

在 final preview / final export 的 ffmpeg concat 階段，根據 project.quality 加上 -vf scale=1280:720（720p）或 -vf scale=1920:1080（1080p），統一輸出解析度
這樣不需要重新生成場景影片，只在最終合併時 scale 即可"					
Q5	嚴重	3/20	全域設定	Ian	"預估影片長度問題 — 建議做法（供 RD 參考）

現況問題：

目前 totalDurationSeconds 的計算邏輯：有 audioDuration 就用，沒有就用文字長度估算（每 15 字 ≈ 1 秒）
估算不準確，且用戶會以為顯示的是實際長度
建議修改（前端 PresenterClipEditor.vue + PromoterClipEditor.vue）：

totalDurationSeconds 改為只加總有 audioDuration 的場景，移除文字估算 fallback
新增 allClipsHaveDuration 判斷：所有場景都有 audioDuration 才算完成
estimatedDuration 顯示邏輯改為：
全部場景都有 duration → 顯示加總時間（如 2m 30s）
部分或全部沒有 → 顯示「需執行所有分鏡後才能預估」"					
Q8	嚴重	3/20	Promoter	Ian	"智能配樂設定問題 — 需修復項目

現況：

PromoterMode 建立專案時，smart_bgm 有正確傳到後端並存入 DB
PromoterClipEditor 載入時，globalSettings.bgmEnabled 預設為 true，沒有讀取 project.smart_bgm 的值
導致取消勾選智能配樂後，進到編輯器配樂仍為開啟
修法：

PromoterClipEditor.vue 載入專案時（約第 4370 行），加入 smart_bgm 判斷：
// 先讀 smart_bgm 設定
if (response.smart_bgm === false) {
  globalSettings.bgmEnabled = false
}
// 再讀 bgm_id（有選過特定 BGM 則覆蓋）
if (response.bgm_id) {
  globalSettings.selectedBgm = response.bgm_id
  globalSettings.bgmEnabled = true
}"					
Q9	嚴重	3/20	其他	Ian	【P0-認證】密碼重設強度不一致 — 註冊要求8-20字元+英數混合，但重設密碼只要6字元，用戶可設超弱密碼如123456（auth.py:251）					
Q10	嚴重	3/20	其他	Ian	【P0-認證】密碼重設Token可重複使用 — Token用過後不失效，洩漏可無限次重設密碼（auth.py:334-350）					
Q11	嚴重	3/20	其他	Ian	【P0-付費】ECPay回呼未驗證金額 — callback只驗簽章不驗金額，攻擊者可篡改金額通過驗證，造成財務損失（ecpay_service.py:243-313）					
Q12	嚴重	3/20	其他	Ian	【P0-付費】點數扣除無交易鎖定 — 兩個並行請求可同時通過餘額檢查，造成點數透支（auth.py:379-449）					
Q13	嚴重	3/20	其他	Ian	【P0-付費】ECPay雙重扣款漏洞 — 兩個相同callback同時到達可重複發放點數（ecpay_service.py:293-296）					
Q14	嚴重	3/20	其他	Ian	【P0-安全】API Key硬編碼在程式碼中 — Gemini、Azure、ECPay金鑰寫在config.py而非環境變數，原始碼外洩即金鑰外洩（config.py:18,21,35,50-51）					
Q24	嚴重	3/20	其他	Sienna	"點數計算不一致問題 — 需修復項目

現況：

「已分配」只算企業點數（allocated_points）
「本月消耗」算所有點數消耗（PointLog.points_deducted，含個人點數和企業點數）
兩個數字來源不同，會出現消耗 > 分配的矛盾
建議修法：

_get_monthly_usage 應只計算企業點數的消耗，過濾條件加上只算 business_points 來源的扣除
或在 PointLog 新增欄位 source（business / personal），記錄這筆扣除是從哪個點數池扣的，查詢時篩選 source='business'"					
Q41	嚴重		其他	Ian	"修改項目：MongoDB 推薦關係資料移轉至 member_referrals
#1｜建立 email 對照表

從 MongoDB users.account（email）對應到 PostgreSQL members.id，產出一份 ObjectId → member_id 的對照表，供後續步驟使用。

無法對應的 email（MongoDB 有但 PostgreSQL 找不到）需另外記錄，確認是否要補建帳號。

#2｜計算每個 user 的 redeem_level

從 MongoDB user_links 遞迴往上追推薦鏈，計算每個 user 的深度：

沒有被推薦過（is_linked_referral_code = false）→ level 0
被 level 0 推薦 → level 1，以此類推
#3｜寫入 member_referrals

來源對應：

member_referrals 欄位	MongoDB 來源
parent_id	user_links.linked_user_id → 對照表 → members.id
child_id	user_links.user_id → 對照表 → members.id
parent_redeem_level	#2 計算結果（parent 的 level）
child_redeem_level	parent level + 1
created_at	user_links.created_at
加上 ON CONFLICT (child_id) DO NOTHING 避免重複寫入。

#4｜同步更新 members 表

寫入完成後，更新 PostgreSQL members 的冗餘欄位：

redeem_level → 對應 #2 計算出的 level
has_redeemed → 有 user_links 記錄的設為 true"					
Q15	一般	3/20	其他	Ian	【P1-安全】無任何API限流 — 登入、註冊、密碼重設等端點均無Rate Limiting，可被暴力破解（全域）					
Q16	一般	3/20	其他	Ian	【P1-安全】CORS過度開放 — 包含HTTP明文來源+allow_methods=*+allow_credentials=True，CSRF攻擊風險（main.py:38-52）					
Q17	一般	3/20	其他	Ian	【P1-認證】註冊無信箱驗證 — 用戶可用任意信箱註冊，無驗證信機制，帳號冒用風險（auth_service.py:265）					
Q18	一般	3/20	其他	Ian	【P1-企業帳號】企業邀請Token端點無需認證 — 公開暴露企業名稱、部門、點數資訊（business_admin.py:985）					
Q19	一般	3/20	其他	Ian	【P1-企業帳號】點數分配Race Condition — 兩個並行分配請求可超額分配Master點數（business_admin.py:607-658）					
Q20	一般	3/20	其他	Ian	【P1-付費】訂閱到期僅在用戶登入時檢查 — 離線用戶訂閱不會被降級直到下次登入，可免費延長（ecpay_service.py:404-512）					
Q22	一般	3/20	其他	Ian	【P1-表單】表單重複提交未防護 — 建立專案按鈕無loading/disabled狀態，可重複點擊建立多個專案（PromoterMode.vue:1392）					
Q23	一般	3/20	其他	Ian	【P1-表單】官網URL未驗證 — URL欄位標記必填但goToNextStep()未檢查格式，無效URL存入DB（PromoterMode.vue:959）					
Q30	一般	3/20	雙模式	Sienna	所有影片播放的右下角「下載」功能要隱藏，不開放以這個方式下載	截圖 2026-03-20 下午6.20.22.png				
Q35	一般	3/23	雙模式	Sienna	"【背景音樂BGM】
自己上傳音樂功能沒有作用"					
Q37	一般	3/23	Promoter	Sienna	"【腳本生成】
「影片生成中」，請改成「腳本生成中」"	截圖 2026-03-23 下午5.53.14.png				
Q47	一般	3/25	Presenter	Sienna	"【影片預覽】
目前測試，分鏡40個以上、影片總長度15-20分鐘，預覽會失敗，訊息如附圖"	截圖 2026-03-25 中午12.48.35.png				
